Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
MotorImagery;2021-01-26 09:13:41.9768;6357;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7408;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:42.3796;6387;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6842;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:43.5102;6465;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;6;-7.7001;0.0000;Running;2.0371;9;0.1000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7249;31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;6;-11.4367;0.0000;Running;2.0371;9;0.1000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:43.7543;6483;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;6;-11.4367;0.0000;Running;2.0371;8;0.1500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:13:44.9200;6563;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6951;31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:45.0107;6569;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7018;32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:45.0197;6570;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6867;32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:49.1370;6851;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7561;33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:49.7514;6893;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6656;33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:52.5750;7099;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7111;34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:52.8184;7117;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6620;34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:54.0892;7205;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7142;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:54.2568;7218;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6982;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:54.3755;7226;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7038;36;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:54.6567;7246;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;7;-11.4367;0.0000;Running;2.6079;8;0.1500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:13:56.0416;7339;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6855;36;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:58.5745;7514;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7591;37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:13:58.5755;7514;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;7;-11.5049;0.0000;Running;2.6079;8;0.1500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:13:58.5785;7514;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;7;-11.5049;0.0000;Running;2.6079;7;0.2000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:13:58.7211;7523;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6960;37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:13:58.9834;7541;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7117;38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:13:59.0063;7542;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6408;38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:06.6167;8087;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7382;39;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:07.4063;8145;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6697;39;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:07.6446;8161;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;8;-11.5049;0.0000;Running;1.3475;7;0.2000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:14:08.9187;8260;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7209;40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:08.9187;8260;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;8;-14.2115;0.0000;Running;1.3475;7;0.2000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:14:08.9197;8260;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;8;-14.2115;0.0000;Running;1.3475;6;0.2500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:14:10.0740;8344;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6990;40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:18.1130;8911;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7056;41;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:19.3133;8995;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;9;-14.2115;0.0000;Running;1.1789;6;0.2500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:14:19.4220;9003;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6949;41;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:19.6853;9022;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7457;42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:21.4276;9145;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6904;42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:21.7158;9165;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7221;43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:21.8216;9172;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6875;43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:22.2197;9202;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7121;44;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:23.3123;9280;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;9;-14.2060;0.0000;Running;1.1789;6;0.2500;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:14:23.3143;9280;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;9;-14.2060;0.0000;Running;1.1789;6;0.2500;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:14:24.2460;9347;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6854;44;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:31.3133;9857;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7878;45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:31.5442;9874;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6403;45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:32.0668;9909;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7134;46;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:32.0728;9910;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6958;46;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:32.1696;9917;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7023;47;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:32.1805;9918;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6863;47;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:32.5561;9945;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7011;48;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:32.7020;9955;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6627;48;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:32.8228;9964;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7057;49;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:32.9324;9971;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6308;49;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:33.6626;10025;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;10;-14.2060;0.0000;Running;1.1016;6;0.2500;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:14:33.8521;10039;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7378;50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:33.8531;10039;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;10;-18.0002;0.0000;Running;1.1016;6;0.2500;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:14:33.8614;10039;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;10;-18.0002;0.0000;Running;1.1016;5;0.3000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:14:34.4794;10080;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6659;50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:39.3267;10417;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7288;51;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:39.9550;10461;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6896;51;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:40.0916;10469;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7450;52;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:42.7943;10665;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.5950;52;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:44.7228;10801;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7358;53;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:44.8115;10807;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;11;-18.0002;0.0000;Running;2.9270;5;0.3000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:14:46.7305;10941;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6996;53;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:47.8766;11021;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7724;54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:48.8111;11087;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;11;-17.9803;0.0000;Running;2.9270;5;0.3000;0;0.0000;4;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:14:48.8111;11087;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;11;-17.9803;0.0000;Running;2.9270;5;0.3000;0;0.0000;3;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:14:49.5592;11141;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6989;54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:49.8042;11158;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7194;55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:14:49.9199;11165;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6565;55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:14:58.7723;11796;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7087;56;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:14:59.6451;11860;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Open;12;-17.9803;0.0000;Running;1.2063;5;0.3000;0;0.0000;3;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:15:00.6521;11934;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6867;56;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:15:00.8147;11944;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7053;57;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:15:01.0470;11962;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6610;57;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:15:02.5987;12078;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7050;58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:15:03.6424;12154;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;12;-17.9639;0.0000;Running;1.2063;5;0.3000;0;0.0000;3;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:15:03.6424;12154;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;12;-17.9639;0.0000;Running;1.2063;5;0.3000;0;0.0000;2;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:15:05.1284;12264;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6550;58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:15:10.7730;12663;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7048;59;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:15:10.8977;12671;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6946;59;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
