Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
MotorImagery;2021-01-26 10:53:33.2295;9607;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7099;11
Rest;2021-01-26 10:53:33.3243;9613;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6601;11
MotorImagery;2021-01-26 10:53:35.6381;9774;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7003;12
Rest;2021-01-26 10:53:36.1383;9807;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6907;12
InputWindowChange;2021-01-26 10:53:42.4250;10259;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;10;-12.2509;0.0000;Running;1.2858;10;0.2000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:53:46.4243;10542;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;10;-12.2396;0.0000;Running;1.2858;10;0.2000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:53:46.4313;10542;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;10;-12.2396;0.0000;Running;1.2858;10;0.2000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:53:56.7543;11287;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;11;-12.2396;0.0000;Running;2.6051;10;0.2000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:53:56.9916;11306;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7262;13
InputWindowChange;2021-01-26 10:53:56.9916;11306;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;11;-15.9913;0.0000;Running;2.6051;10;0.2000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:53:56.9956;11306;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;11;-15.9913;0.0000;Running;2.6051;9;0.2500;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:53:57.3796;11331;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6602;13
InputWindowChange;2021-01-26 10:54:07.7185;12078;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;12;-15.9913;0.0000;Running;2.6131;9;0.2500;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:54:11.7186;12364;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;12;-15.9853;0.0000;Running;2.6131;9;0.2500;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:54:11.7216;12364;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;12;-15.9853;0.0000;Running;2.6131;9;0.2500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-26 10:54:22.7696;13156;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;13;-15.9853;0.0000;Running;1.0889;9;0.2500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:54:24.2054;13258;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7115;14
InputWindowChange;2021-01-26 10:54:24.2064;13258;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;13;-18.5260;0.0000;Running;1.0889;9;0.2500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:54:24.2074;13258;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;13;-18.5260;0.0000;Running;1.0889;8;0.3000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:54:24.4247;13276;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6997;14
MotorImagery;2021-01-26 10:54:25.2136;13333;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7045;15
Rest;2021-01-26 10:54:25.3368;13342;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6768;15
InputWindowChange;2021-01-26 10:54:34.5249;14011;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;14;-18.5260;0.0000;Running;2.3040;8;0.3000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:54:35.1721;14060;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7208;16
InputWindowChange;2021-01-26 10:54:35.1721;14060;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;14;-21.8659;0.0000;Running;2.3040;8;0.3000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:54:35.1730;14060;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;14;-21.8659;0.0000;Running;2.3040;7;0.3500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:54:35.2913;14069;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6848;16
MotorImagery;2021-01-26 10:54:35.4185;14078;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7124;17
Rest;2021-01-26 10:54:36.0598;14125;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6469;17
MotorImagery;2021-01-26 10:54:37.2121;14208;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7522;18
Rest;2021-01-26 10:54:38.1041;14272;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6918;18
InputWindowChange;2021-01-26 10:54:45.7100;14820;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;15;-21.8659;0.0000;Running;1.0442;7;0.3500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:54:46.7428;14892;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;15;-24.8144;0.0000;Running;1.0442;7;0.3500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:54:46.7438;14892;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;15;-24.8144;0.0000;Running;1.0442;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:54:46.8117;14897;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7419;19
Rest;2021-01-26 10:54:47.3103;14933;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6914;19
InputWindowChange;2021-01-26 10:54:57.3146;15642;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;16;-24.8144;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:55:01.3192;15936;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;16;-24.8048;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:01.3202;15936;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;16;-24.8048;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:55:05.7186;16255;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7150;20
Rest;2021-01-26 10:55:05.8483;16263;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6669;20
InputWindowChange;2021-01-26 10:55:12.1484;16735;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;17;-24.8048;0.0000;Running;2.7985;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:55:14.9471;16932;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;17;-25.9777;0.0000;Running;2.7985;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:14.9481;16932;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;17;-25.9777;0.0000;Running;2.7985;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-26 10:55:24.6007;17625;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;18;-25.9777;0.0000;Running;1.5843;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:55:26.1675;17739;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;18;-28.3927;0.0000;Running;1.5843;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:26.1675;17739;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;18;-28.3927;0.0000;Running;1.5843;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:55:32.9464;18240;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7536;21
Rest;2021-01-26 10:55:33.1994;18258;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6968;21
MotorImagery;2021-01-26 10:55:33.2163;18259;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7092;22
Rest;2021-01-26 10:55:33.6751;18292;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6968;22
InputWindowChange;2021-01-26 10:55:36.5333;18499;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;19;-28.3927;0.0000;Running;2.7567;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:55:38.0802;18610;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7180;23
Rest;2021-01-26 10:55:38.2767;18623;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6953;23
InputWindowChange;2021-01-26 10:55:39.2703;18697;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;19;-29.6352;0.0000;Running;2.7567;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:39.2703;18697;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;19;-29.6352;0.0000;Running;2.7567;7;0.3500;0;0.3000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
GameStopped;2021-01-26 10:55:45.5465;19137;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;20;0.0000;0.0000;Stopped;2.7567;7;0.3500;0;0.3000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
